order_id,pickup_time,drop_time,actual_duration_minutes,is_late
ORD00053,2024-01-25 09:40:00,2024-01-25 09:54:46.800,14.78,0
ORD00054,2024-08-15 06:32:00,2024-08-15 06:44:39.000,12.65,0
ORD00055,2024-07-03 10:59:00,2024-07-03 11:14:12.000,15.2,0
ORD00056,2024-11-12 03:33:00,2024-11-12 03:43:49.800,10.83,0
ORD00057,2024-01-31 13:55:00,2024-01-31 14:05:18.000,10.3,0
ORD00058,2024-02-13 17:31:00,2024-02-13 17:42:46.800,11.78,0
ORD00059,2024-08-18 15:27:00,2024-08-18 15:38:42.600,11.71,0
ORD00060,2024-11-14 13:54:00,2024-11-14 14:09:25.200,15.42,0
ORD00061,2024-04-26 18:14:00,2024-04-26 18:29:23.400,15.39,0
ORD00062,2024-01-01 12:36:00,2024-01-01 12:54:43.200,18.72,1
ORD00063,2024-02-16 03:00:00,2024-02-16 03:11:30.600,11.51,0
ORD00064,2024-07-25 04:04:00,2024-07-25 04:12:00.000,8.0,0
ORD00065,2024-01-23 18:34:00,2024-01-23 18:45:46.200,11.77,0
ORD00066,2024-07-05 08:53:00,2024-07-05 09:06:41.400,13.69,0
ORD00067,2024-02-28 05:22:00,2024-02-28 05:37:08.400,15.14,0
ORD00068,2024-02-21 06:09:00,2024-02-21 06:22:54.600,13.91,0
ORD00069,2024-05-17 23:05:00,2024-05-17 23:16:30.600,11.51,0
ORD00070,2024-03-17 20:01:00,2024-03-17 20:19:08.400,18.14,1
ORD00071,2024-04-25 04:22:00,2024-04-25 04:31:54.000,9.9,0
ORD00072,2024-06-24 06:57:00,2024-06-24 07:09:10.800,12.18,0
ORD00073,2024-11-25 10:21:00,2024-11-25 10:30:45.600,9.76,0
ORD00074,2024-01-12 20:56:00,2024-01-12 21:09:03.600,13.06,0
ORD00075,2024-04-22 15:52:00,2024-04-22 16:09:46.200,17.77,0
ORD00076,2024-08-06 16:11:00,2024-08-06 16:23:34.800,12.58,0
ORD00077,2024-03-10 10:38:00,2024-03-10 10:50:36.000,12.6,0
ORD00078,2024-02-10 17:21:00,2024-02-10 17:29:00.000,8.0,0
ORD00079,2024-01-30 23:44:00,2024-01-30 23:56:08.400,12.14,0
ORD00080,2024-03-06 14:20:00,2024-03-06 14:36:27.000,16.45,0
ORD00081,2024-02-05 21:48:00,2024-02-05 22:00:15.000,12.25,0
ORD00082,2024-05-24 06:13:00,2024-05-24 06:25:03.000,12.05,0
ORD00083,2024-03-06 05:48:00,2024-03-06 06:04:19.200,16.32,0
ORD00084,2024-09-11 15:46:00,2024-09-11 15:58:03.600,12.06,0
ORD00085,2024-04-17 12:52:00,2024-04-17 13:08:52.800,16.88,0
ORD00086,2024-06-03 06:49:00,2024-06-03 06:58:09.000,9.15,0
ORD00087,2024-07-05 00:27:00,2024-07-05 00:42:01.800,15.03,0
ORD00088,2024-07-16 13:31:00,2024-07-16 13:48:56.400,17.94,0
ORD00089,2024-03-13 12:44:00,2024-03-13 13:00:01.200,16.02,0
ORD00090,2024-08-30 21:35:00,2024-08-30 21:43:00.000,8.0,0
ORD00091,2024-08-08 03:34:00,2024-08-08 03:45:05.400,11.09,0
ORD00092,2024-09-05 21:10:00,2024-09-05 21:22:16.200,12.27,0
ORD00093,2024-06-14 14:37:00,2024-06-14 14:53:01.800,16.03,0
ORD00094,2024-05-27 07:39:00,2024-05-27 07:48:00.600,9.01,0
ORD00095,2024-03-27 05:00:00,2024-03-27 05:09:56.400,9.94,0
ORD00096,2024-10-26 11:10:00,2024-10-26 11:18:10.800,8.18,0
ORD00097,2024-06-17 03:30:00,2024-06-17 03:40:31.200,10.52,0
ORD00098,2024-12-07 08:16:00,2024-12-07 08:25:15.000,9.25,0
ORD00099,2024-07-15 12:09:00,2024-07-15 12:26:47.400,17.79,0
ORD00100,2024-12-22 18:24:00,2024-12-22 18:35:03.600,11.06,0
ORD00101,2024-10-03 23:33:00,2024-10-03 23:48:04.200,15.07,0
ORD00102,2024-06-27 22:19:00,2024-06-27 22:32:03.000,13.05,0
ORD00103,2024-08-09 18:30:00,2024-08-09 18:43:00.600,13.01,0
ORD00104,2024-04-13 13:51:00,2024-04-13 14:02:13.800,11.23,0
ORD00105,2024-04-08 12:41:00,2024-04-08 12:56:18.600,15.31,0
ORD00106,2024-07-01 02:32:00,2024-07-01 02:45:27.600,13.46,0
ORD00107,2024-09-21 06:55:00,2024-09-21 07:08:17.400,13.29,0
ORD00108,2024-09-01 01:57:00,2024-09-01 02:08:13.200,11.22,0
ORD00109,2024-08-13 09:15:00,2024-08-13 09:26:42.600,11.71,0
ORD00110,2024-11-29 23:23:00,2024-11-29 23:37:46.200,14.77,0
ORD00111,2024-01-05 18:54:00,2024-01-05 19:07:41.400,13.69,0
ORD00112,2024-09-11 03:35:00,2024-09-11 03:48:22.200,13.37,0
ORD00113,2024-08-29 02:37:00,2024-08-29 02:47:44.400,10.74,0
ORD00114,2024-07-26 01:56:00,2024-07-26 02:14:49.800,18.83,1
ORD00115,2024-02-19 06:35:00,2024-02-19 06:46:33.600,11.56,0
ORD00116,2024-07-18 19:50:00,2024-07-18 20:02:54.600,12.91,0
ORD00117,2024-12-18 04:39:00,2024-12-18 04:51:26.400,12.44,0
ORD00118,2024-12-28 10:41:00,2024-12-28 10:59:51.600,18.86,1
ORD00119,2024-02-03 03:04:00,2024-02-03 03:16:07.800,12.13,0
ORD00120,2024-08-23 21:00:00,2024-08-23 21:11:51.000,11.85,0
ORD00121,2024-08-28 16:11:00,2024-08-28 16:24:21.000,13.35,0
ORD00122,2024-10-28 10:23:00,2024-10-28 10:33:55.200,10.92,0
ORD00123,2024-08-29 13:14:00,2024-08-29 13:27:19.800,13.33,0
ORD00124,2024-04-30 20:33:00,2024-04-30 20:53:06.600,20.11,1
ORD00125,2024-03-04 04:56:00,2024-03-04 05:09:54.000,13.9,0
ORD00126,2024-01-28 05:33:00,2024-01-28 05:46:47.400,13.79,0
ORD00127,2024-08-26 08:40:00,2024-08-26 08:50:51.000,10.85,0
ORD00128,2024-02-02 01:30:00,2024-02-02 01:48:07.800,18.13,1
ORD00129,2024-08-15 07:07:00,2024-08-15 07:25:49.200,18.82,1
ORD00130,2024-11-17 05:05:00,2024-11-17 05:20:33.600,15.56,0
ORD00131,2024-03-15 13:10:00,2024-03-15 13:24:57.600,14.96,0
ORD00132,2024-05-04 17:16:00,2024-05-04 17:28:18.000,12.3,0
ORD00133,2024-11-06 13:03:00,2024-11-06 13:17:10.200,14.17,0
ORD00134,2024-03-08 15:51:00,2024-03-08 16:01:29.400,10.49,0
ORD00135,2024-05-13 12:21:00,2024-05-13 12:30:37.200,9.62,0
ORD00136,2024-09-10 20:31:00,2024-09-10 20:39:32.400,8.54,0
ORD00137,2024-02-21 15:31:00,2024-02-21 15:45:13.800,14.23,0
ORD00138,2024-02-18 02:30:00,2024-02-18 02:38:51.600,8.86,0
ORD00139,2024-12-03 01:56:00,2024-12-03 02:07:30.000,11.5,0
ORD00140,2024-10-22 11:47:00,2024-10-22 11:59:49.200,12.82,0
ORD00141,2024-12-25 22:28:00,2024-12-25 22:43:59.400,15.99,0
ORD00142,2024-04-18 15:46:00,2024-04-18 15:57:16.200,11.27,0
ORD00143,2024-08-09 18:25:00,2024-08-09 18:41:20.400,16.34,0
ORD00144,2024-04-02 21:13:00,2024-04-02 21:28:49.200,15.82,0
ORD00145,2024-01-23 17:01:00,2024-01-23 17:10:47.400,9.79,0
ORD00146,2024-05-17 01:32:00,2024-05-17 01:48:22.200,16.37,0
ORD00147,2024-01-12 10:32:00,2024-01-12 10:44:09.000,12.15,0
ORD00148,2024-11-04 20:08:00,2024-11-04 20:19:30.000,11.5,0
ORD00149,2024-07-15 01:31:00,2024-07-15 01:43:09.600,12.16,0
ORD00150,2024-07-22 11:15:00,2024-07-22 11:27:59.400,12.99,0
ORD00151,2024-12-10 00:43:00,2024-12-10 00:54:45.000,11.75,0
ORD00152,2024-08-29 09:39:00,2024-08-29 09:49:28.800,10.48,0
ORD00153,2024-02-14 17:23:00,2024-02-14 17:33:45.000,10.75,0
ORD00154,2024-12-18 23:49:00,2024-12-19 00:02:25.200,13.42,0
ORD00155,2024-04-20 01:19:00,2024-04-20 01:31:31.200,12.52,0
ORD00156,2024-01-25 02:19:00,2024-01-25 02:33:34.800,14.58,0
ORD00157,2024-11-16 12:49:00,2024-11-16 13:02:09.600,13.16,0
ORD00158,2024-12-12 19:23:00,2024-12-12 19:36:13.800,13.23,0
ORD00159,2024-11-22 19:44:00,2024-11-22 19:58:46.800,14.78,0
ORD00160,2024-07-13 11:43:00,2024-07-13 12:00:15.600,17.26,0
ORD00161,2024-01-08 16:53:00,2024-01-08 17:10:22.800,17.38,0
ORD00162,2024-11-20 17:26:00,2024-11-20 17:43:01.200,17.02,0
ORD00163,2024-06-06 21:19:00,2024-06-06 21:34:36.600,15.61,0
ORD00164,2024-05-14 13:05:00,2024-05-14 13:24:15.600,19.26,1
ORD00165,2024-11-06 22:06:00,2024-11-06 22:20:18.600,14.31,0
ORD00166,2024-08-30 05:35:00,2024-08-30 05:48:58.800,13.98,0
ORD00167,2024-12-24 07:21:00,2024-12-24 07:40:43.800,19.73,1
ORD00168,2024-07-01 11:31:00,2024-07-01 11:39:00.000,8.0,0
ORD00169,2024-01-03 16:45:00,2024-01-03 16:57:21.600,12.36,0
ORD00170,2024-09-18 08:35:00,2024-09-18 08:51:45.600,16.76,0
ORD00171,2024-01-29 15:23:00,2024-01-29 15:38:56.400,15.94,0
ORD00172,2024-05-17 23:09:00,2024-05-17 23:29:42.000,20.7,1
ORD00173,2024-08-12 02:01:00,2024-08-12 02:14:19.200,13.32,0
ORD00174,2024-11-29 18:38:00,2024-11-29 18:49:42.600,11.71,0
ORD00175,2024-05-05 10:18:00,2024-05-05 10:30:00.000,12.0,0
ORD00176,2024-02-16 13:46:00,2024-02-16 13:59:57.000,13.95,0
ORD00177,2024-04-10 00:02:00,2024-04-10 00:19:51.600,17.86,0
ORD00178,2024-03-28 22:12:00,2024-03-28 22:29:54.000,17.9,0
ORD00179,2024-09-30 21:23:00,2024-09-30 21:35:49.800,12.83,0
ORD00180,2024-04-02 09:38:00,2024-04-02 09:51:45.600,13.76,0
ORD00181,2024-05-11 01:46:00,2024-05-11 01:57:10.200,11.17,0
ORD00182,2024-01-04 07:54:00,2024-01-04 08:05:28.800,11.48,0
ORD00183,2024-06-08 16:09:00,2024-06-08 16:25:08.400,16.14,0
ORD00184,2024-04-26 08:02:00,2024-04-26 08:19:48.600,17.81,0
ORD00185,2024-03-17 00:55:00,2024-03-17 01:05:54.600,10.91,0
ORD00186,2024-06-20 08:11:00,2024-06-20 08:24:43.800,13.73,0
ORD00187,2024-05-25 14:30:00,2024-05-25 14:42:16.200,12.27,0
ORD00188,2024-11-13 09:19:00,2024-11-13 09:34:35.400,15.59,0
ORD00189,2024-09-01 14:09:00,2024-09-01 14:20:49.800,11.83,0
ORD00190,2024-08-02 22:21:00,2024-08-02 22:29:00.000,8.0,0
ORD00191,2024-12-02 23:24:00,2024-12-02 23:40:00.600,16.01,0
ORD00192,2024-01-04 16:46:00,2024-01-04 16:58:05.400,12.09,0
ORD00193,2024-10-14 03:16:00,2024-10-14 03:28:24.000,12.4,0
ORD00194,2024-09-17 23:37:00,2024-09-17 23:51:18.600,14.31,0
ORD00195,2024-11-30 10:34:00,2024-11-30 10:48:03.600,14.06,0
ORD00196,2024-10-22 04:13:00,2024-10-22 04:27:22.200,14.37,0
ORD00197,2024-07-15 10:56:00,2024-07-15 11:04:06.600,8.11,0
ORD00198,2024-12-04 20:39:00,2024-12-04 20:53:40.200,14.67,0
ORD00199,2024-05-29 01:38:00,2024-05-29 01:46:00.000,8.0,0
ORD00200,2024-06-01 18:26:00,2024-06-01 18:41:18.600,15.31,0
ORD00201,2024-09-08 09:18:00,2024-09-08 09:34:21.600,16.36,0
ORD00202,2024-11-29 09:57:00,2024-11-29 10:05:53.400,8.89,0
ORD00203,2024-05-28 17:40:00,2024-05-28 17:53:59.400,13.99,0
ORD00204,2024-01-16 15:27:00,2024-01-16 15:43:10.200,16.17,0
ORD00205,2024-09-01 13:54:00,2024-09-01 14:05:39.000,11.65,0
ORD00206,2024-11-29 12:17:00,2024-11-29 12:32:01.200,15.02,0
ORD00207,2024-07-28 19:45:00,2024-07-28 19:53:00.000,8.0,0
ORD00208,2024-05-07 16:39:00,2024-05-07 16:55:17.400,16.29,0
ORD00209,2024-07-08 14:58:00,2024-07-08 15:11:05.400,13.09,0
ORD00210,2024-09-28 13:11:00,2024-09-28 13:23:13.800,12.23,0
ORD00211,2024-12-29 15:58:00,2024-12-29 16:13:57.000,15.95,0
ORD00212,2024-07-30 01:07:00,2024-07-30 01:25:11.400,18.19,1
ORD00213,2024-01-19 01:22:00,2024-01-19 01:36:27.600,14.46,0
ORD00214,2024-05-22 02:31:00,2024-05-22 02:48:49.800,17.83,0
ORD00215,2024-11-20 08:58:00,2024-11-20 09:06:20.400,8.34,0
ORD00216,2024-11-07 09:35:00,2024-11-07 09:50:00.000,15.0,0
ORD00217,2024-06-06 01:34:00,2024-06-06 01:46:36.000,12.6,0
ORD00218,2024-04-14 14:18:00,2024-04-14 14:28:38.400,10.64,0
ORD00219,2024-07-18 00:48:00,2024-07-18 00:56:00.000,8.0,0
ORD00220,2024-08-07 21:44:00,2024-08-07 21:58:50.400,14.84,0
ORD00221,2024-07-28 11:45:00,2024-07-28 12:00:37.800,15.63,0
ORD00222,2024-09-20 10:14:00,2024-09-20 10:31:01.800,17.03,0
ORD00223,2024-07-07 23:46:00,2024-07-08 00:02:31.800,16.53,0
ORD00224,2024-04-08 16:01:00,2024-04-08 16:11:40.800,10.68,0
ORD00225,2024-09-16 05:18:00,2024-09-16 05:34:52.200,16.87,0
ORD00226,2024-05-01 16:56:00,2024-05-01 17:13:11.400,17.19,0
ORD00227,2024-04-14 15:40:00,2024-04-14 15:52:13.200,12.22,0
ORD00228,2024-05-17 04:51:00,2024-05-17 05:04:05.400,13.09,0
ORD00229,2024-08-14 21:10:00,2024-08-14 21:20:12.000,10.2,0
ORD00230,2024-04-13 15:56:00,2024-04-13 16:13:26.400,17.44,0
ORD00231,2024-01-14 16:41:00,2024-01-14 16:49:27.600,8.46,0
ORD00232,2024-02-13 03:46:00,2024-02-13 04:00:36.000,14.6,0
ORD00233,2024-05-29 13:40:00,2024-05-29 13:51:12.600,11.21,0
ORD00234,2024-07-20 23:31:00,2024-07-20 23:40:40.800,9.68,0
ORD00235,2024-03-13 04:01:00,2024-03-13 04:09:00.000,8.0,0
ORD00236,2024-05-14 19:20:00,2024-05-14 19:32:21.000,12.35,0
ORD00237,2024-10-23 18:58:00,2024-10-23 19:07:12.600,9.21,0
ORD00238,2024-12-27 01:02:00,2024-12-27 01:15:10.200,13.17,0
ORD00239,2024-11-19 06:43:00,2024-11-19 07:01:18.600,18.31,1
ORD00240,2024-03-17 14:02:00,2024-03-17 14:15:36.000,13.6,0
ORD00241,2024-05-24 23:19:00,2024-05-24 23:37:59.400,18.99,1
ORD00242,2024-12-12 11:42:00,2024-12-12 11:52:03.000,10.05,0
ORD00243,2024-04-08 00:29:00,2024-04-08 00:38:09.600,9.16,0
ORD00244,2024-05-10 09:57:00,2024-05-10 10:06:55.200,9.92,0
ORD00245,2024-12-24 09:38:00,2024-12-24 09:50:48.000,12.8,0
ORD00246,2024-01-13 20:50:00,2024-01-13 21:11:10.200,21.17,1
ORD00247,2024-10-01 00:59:00,2024-10-01 01:07:00.600,8.01,0
ORD00248,2024-08-08 16:07:00,2024-08-08 16:21:51.600,14.86,0
ORD00249,2024-12-08 02:42:00,2024-12-08 02:52:54.000,10.9,0
ORD00250,2024-10-02 02:31:00,2024-10-02 02:43:19.800,12.33,0
ORD00251,2024-01-20 14:08:00,2024-01-20 14:17:13.800,9.23,0
ORD00252,2024-09-12 18:54:00,2024-09-12 19:09:38.400,15.64,0
ORD00253,2024-08-10 00:45:00,2024-08-10 00:57:52.200,12.87,0
ORD00254,2024-11-03 15:17:00,2024-11-03 15:33:15.600,16.26,0
ORD00255,2024-08-22 18:45:00,2024-08-22 18:58:31.800,13.53,0
ORD00256,2024-11-13 11:31:00,2024-11-13 11:39:00.000,8.0,0
ORD00257,2024-02-04 14:42:00,2024-02-04 14:58:17.400,16.29,0
ORD00258,2024-02-18 23:39:00,2024-02-18 23:47:00.000,8.0,0
ORD00259,2024-08-16 04:16:00,2024-08-16 04:24:00.000,8.0,0
ORD00260,2024-05-15 20:02:00,2024-05-15 20:12:15.000,10.25,0
ORD00261,2024-02-13 14:32:00,2024-02-13 14:42:17.400,10.29,0
ORD00262,2024-08-20 00:54:00,2024-08-20 01:11:11.400,17.19,0
ORD00263,2024-04-19 04:48:00,2024-04-19 05:00:29.400,12.49,0
ORD00264,2024-01-27 22:43:00,2024-01-27 22:59:44.400,16.74,0
ORD00265,2024-01-31 18:05:00,2024-01-31 18:16:18.000,11.3,0
ORD00266,2024-02-16 07:12:00,2024-02-16 07:25:57.000,13.95,0
ORD00267,2024-12-30 06:30:00,2024-12-30 06:44:25.200,14.42,0
ORD00268,2024-10-10 22:54:00,2024-10-10 23:09:05.400,15.09,0
ORD00269,2024-10-24 08:54:00,2024-10-24 09:05:36.600,11.61,0
ORD00270,2024-03-23 06:10:00,2024-03-23 06:21:52.200,11.87,0
ORD00271,2024-01-26 08:22:00,2024-01-26 08:34:06.600,12.11,0
ORD00272,2024-06-21 03:06:00,2024-06-21 03:14:02.400,8.04,0
ORD00273,2024-06-20 11:00:00,2024-06-20 11:12:45.000,12.75,0
ORD00274,2024-02-28 07:47:00,2024-02-28 07:58:51.000,11.85,0
ORD00275,2024-08-25 22:43:00,2024-08-25 22:57:44.400,14.74,0
ORD00276,2024-04-09 02:25:00,2024-04-09 02:38:16.200,13.27,0
ORD00277,2024-04-24 22:10:00,2024-04-24 22:27:00.600,17.01,0
ORD00278,2024-04-07 05:17:00,2024-04-07 05:30:12.600,13.21,0
ORD00279,2024-01-17 17:27:00,2024-01-17 17:38:18.600,11.31,0
ORD00280,2024-10-19 00:37:00,2024-10-19 00:50:10.200,13.17,0
ORD00281,2024-11-26 09:09:00,2024-11-26 09:24:10.200,15.17,0
ORD00282,2024-12-25 20:14:00,2024-12-25 20:22:00.000,8.0,0
ORD00283,2024-04-16 06:34:00,2024-04-16 06:44:51.000,10.85,0
ORD00284,2024-01-08 12:23:00,2024-01-08 12:33:55.200,10.92,0
ORD00285,2024-07-05 13:54:00,2024-07-05 14:08:13.800,14.23,0
ORD00286,2024-10-04 09:24:00,2024-10-04 09:38:34.800,14.58,0
ORD00287,2024-12-24 21:02:00,2024-12-24 21:15:18.000,13.3,0
ORD00288,2024-07-08 14:57:00,2024-07-08 15:05:00.000,8.0,0
ORD00289,2024-09-19 13:50:00,2024-09-19 13:58:02.400,8.04,0
ORD00290,2024-12-23 17:40:00,2024-12-23 17:52:16.800,12.28,0
ORD00291,2024-12-06 03:46:00,2024-12-06 03:57:30.000,11.5,0
ORD00292,2024-09-11 13:48:00,2024-09-11 14:01:01.200,13.02,0
ORD00293,2024-01-04 00:08:00,2024-01-04 00:19:35.400,11.59,0
ORD00294,2024-08-27 07:44:00,2024-08-27 08:01:35.400,17.59,0
ORD00295,2024-03-18 05:44:00,2024-03-18 05:52:00.000,8.0,0
ORD00296,2024-07-15 02:42:00,2024-07-15 02:55:54.600,13.91,0
ORD00297,2024-02-05 10:49:00,2024-02-05 11:04:28.800,15.48,0
ORD00298,2024-10-04 17:19:00,2024-10-04 17:34:06.000,15.1,0
ORD00299,2024-10-09 21:36:00,2024-10-09 21:51:21.600,15.36,0
ORD00300,2024-04-05 14:26:00,2024-04-05 14:41:47.400,15.79,0
ORD00301,2024-11-04 01:43:00,2024-11-04 01:54:11.400,11.19,0
ORD00302,2024-12-03 12:43:00,2024-12-03 12:52:42.000,9.7,0
ORD00303,2024-04-03 01:19:00,2024-04-03 01:27:00.000,8.0,0
ORD00304,2024-03-09 19:16:00,2024-03-09 19:27:54.600,11.91,0
ORD00305,2024-12-03 01:25:00,2024-12-03 01:35:40.200,10.67,0
ORD00306,2024-07-12 00:32:00,2024-07-12 00:48:28.800,16.48,0
ORD00307,2024-03-18 10:17:00,2024-03-18 10:29:08.400,12.14,0
ORD00308,2024-05-05 01:19:00,2024-05-05 01:28:54.600,9.91,0
ORD00309,2024-08-08 09:20:00,2024-08-08 09:29:25.800,9.43,0
ORD00310,2024-01-20 12:39:00,2024-01-20 12:57:58.200,18.97,1
ORD00311,2024-08-07 02:57:00,2024-08-07 03:09:55.800,12.93,0
ORD00312,2024-11-23 07:53:00,2024-11-23 08:03:39.600,10.66,0
ORD00313,2024-03-15 18:12:00,2024-03-15 18:25:22.200,13.37,0
ORD00314,2024-12-21 06:43:00,2024-12-21 07:01:41.400,18.69,1
ORD00315,2024-09-09 12:10:00,2024-09-09 12:21:49.800,11.83,0
ORD00316,2024-09-07 09:12:00,2024-09-07 09:27:03.600,15.06,0
ORD00317,2024-09-19 07:57:00,2024-09-19 08:13:33.600,16.56,0
ORD00318,2024-03-14 11:27:00,2024-03-14 11:35:00.000,8.0,0
ORD00319,2024-04-25 11:51:00,2024-04-25 12:02:04.800,11.08,0
ORD00320,2024-06-14 01:43:00,2024-06-14 01:59:10.800,16.18,0
ORD00321,2024-07-13 18:46:00,2024-07-13 18:56:54.000,10.9,0
ORD00322,2024-03-15 04:18:00,2024-03-15 04:32:14.400,14.24,0
ORD00323,2024-03-13 07:19:00,2024-03-13 07:29:43.200,10.72,0
ORD00324,2024-12-10 21:54:00,2024-12-10 22:05:39.600,11.66,0
ORD00325,2024-06-15 03:48:00,2024-06-15 03:59:18.000,11.3,0
ORD00326,2024-02-20 16:03:00,2024-02-20 16:17:54.600,14.91,0
ORD00327,2024-02-12 02:19:00,2024-02-12 02:32:36.000,13.6,0
ORD00328,2024-10-21 03:21:00,2024-10-21 03:34:18.000,13.3,0
ORD00329,2024-01-27 22:08:00,2024-01-27 22:28:31.200,20.52,1
ORD00330,2024-09-05 02:21:00,2024-09-05 02:39:13.200,18.22,1
ORD00331,2024-08-09 07:48:00,2024-08-09 07:56:00.000,8.0,0
ORD00332,2024-09-15 02:54:00,2024-09-15 03:05:40.200,11.67,0
ORD00333,2024-01-04 19:08:00,2024-01-04 19:28:16.800,20.28,1
ORD00334,2024-09-12 02:37:00,2024-09-12 02:48:16.800,11.28,0
ORD00335,2024-09-20 01:38:00,2024-09-20 01:57:15.600,19.26,1
ORD00336,2024-11-05 09:28:00,2024-11-05 09:39:43.200,11.72,0
ORD00337,2024-10-14 11:21:00,2024-10-14 11:33:18.000,12.3,0
ORD00338,2024-12-18 23:54:00,2024-12-19 00:09:35.400,15.59,0
ORD00339,2024-10-24 13:10:00,2024-10-24 13:22:43.800,12.73,0
ORD00340,2024-09-29 16:11:00,2024-09-29 16:25:28.800,14.48,0
ORD00341,2024-12-21 22:19:00,2024-12-21 22:36:43.200,17.72,0
ORD00342,2024-04-06 17:02:00,2024-04-06 17:17:16.800,15.28,0
ORD00343,2024-06-18 12:53:00,2024-06-18 13:06:25.200,13.42,0
ORD00344,2024-03-31 03:16:00,2024-03-31 03:34:01.200,18.02,1
ORD00345,2024-05-17 21:57:00,2024-05-17 22:12:37.800,15.63,0
ORD00346,2024-01-14 19:37:00,2024-01-14 19:47:48.000,10.8,0
ORD00347,2024-08-21 07:58:00,2024-08-21 08:16:56.400,18.94,1
ORD00348,2024-05-11 10:38:00,2024-05-11 10:52:55.800,14.93,0
